product,grape,score,avg_price_liter
"Tenuta Luce 'Lucente' Toscana IGT,  Tuscany",  Merlot - Sangiovese  ,90,189.33
"Salvioni  Cerbaiola Brunello di Montalcino DOCG, Tuscany",  Sangiovese  ,94,1178.67
"Podere Grattamacco  Bolgheri Superiore, Bolgheri",  Cabernet - Merlot - Sangiovese  ,93,585.33
"Stella  di Campalto Podere San Giuseppe Brunello di Montalcino Riserva DOCG, Tuscany",  Sangiovese  ,93,1238.67
"Gaja Gaia & Rey Chardonnay  Langhe, Piedmont",  Chardonnay  ,92,513.33
"Castello dei Rampolla  Sammarco Toscana IGT, Tuscany",  Cabernet - Sangiovese  ,94,544.0
"Gaja Sori Tildin  Langhe-Barbaresco, Piedmont",  Nebbiolo  ,95,465.33
"Fontodi  Vigna del Sorbo, Chianti Classico Gran Selezione DOCG",  Sangiovese  ,93,585.33
"Gaja  Pieve Santa Restituta, Brunello di Montalcino DOCG",  Sangiovese  ,90,569.33
"Le Macchiole 'Paleo' Bolgheri,  Tuscany",  Cabernet Franc  ,94,816.0
"Dal  Forno Romano Vigneto Monte Lodoletta Valpolicella Superiore, Veneto",  Valpolicella Blend  ,92,800.0
"Giacomo Borgogno  & Figli Barolo Riserva DOCG, Piedmont",  Nebbiolo  ,91,1162.67
"Gaja Ca'Marcanda Promis Toscana  IGT, Tuscany",  Merlot - Syrah  ,90,305.33
"Allegrini  Amarone della Valpolicella Classico DOCG, Veneto",  Valpolicella Blend  ,92,502.67
"G.D. Vajra Bricco delle  Viole, Barolo DOCG",  Nebbiolo  ,93,593.33
"Valdicava  Madonna del Piano, Brunello di Montalcino Riserva DOCG",  Sangiovese  ,94,340.0
"Roagna Pira, Barolo DOCG",  Nebbiolo  ,93,1072.0
"Giuseppe  Quintarelli Amarone della Valpolicella Classico Riserva DOCG, Veneto",  Valpolicella Blend  ,95,872.0
"Castellare di  Castellina 'I Sodi di San Niccolo' Toscana IGT, Tuscany",  Chianti Blend  ,93,601.33
"Il  Marroneto Madonna delle Grazie, Brunello di Montalcino DOCG",  Sangiovese  ,94,925.33
"Castello di Ama L'Apparita  Toscana IGT, Tuscany",  Merlot  ,94,52.0
"Giuseppe  Quintarelli Valpolicella Classico Superiore, Veneto",  Valpolicella Blend  ,92,750.67
"Argiano Solengo Toscana IGT, Tuscany,",  Cabernet - Merlot - Syrah  ,92,486.67
"Vietti Ravera, Barolo DOCG,",  Nebbiolo  ,94,1318.67
"Fontodi Chianti Classico DOCG,  Tuscany",  Sangiovese  ,91,256.0
"Il  Poggione Vigna Paganelli, Brunello di Montalcino Riserva DOCG",  Sangiovese  ,93,684.0
"Paolo Scavino Bric del  Fiasc, Barolo DOCG",  Nebbiolo  ,93,717.33
"La Spinetta  Vursu Vigneto Campe, Barolo DOCG",  Nebbiolo  ,92,956.0
"Marchesi  Antinori Pian delle Vigne, Brunello di Montalcino DOCG",  Sangiovese  ,91,428.0
"Massolino Vigna  Rionda Riserva, Barolo DOCG",  Nebbiolo  ,95,1220.0
"Altesino Brunello di  Montalcino DOCG, Tuscany",  Sangiovese  ,91,428.0
